,Author,Date,body
2639,mahtab alam,2016-06-25,it be very good communication
2640,parag upadhyay,2016-06-25,love it
2641,shae khan,2016-06-25,love the so far but can the engineer consider these addition 1 option to sort newsfeed by most recent 2 view company page as admin 3 manage group as manager 4 just view ad campaign like you can for adword ad in google adword
2642,priyanka shingate,2016-06-25,ok
2643,chaudhary abdul aziz gujjar,2016-06-25,very nyc lication i likeed it 
2644,arpit kushwaha,2016-06-25,love this
2645,abdul rab,2016-06-25,good
2646,achilles achilleos,2016-06-25,excellent means of communication 
2647,adel pago,2016-06-25,your lication have an error that doesn t let me access it ask to verify a captcha and when i finish it continue but doesn t load anything!
2648,kumara velan,2016-06-25,awesome   gife a platform to accomplish many goals!! thank u team
2649,doyin atunrase,2016-06-25,good do what i need
2650,nadeem aslam janjua,2016-06-25,love it
2651,firozbhai multani,2016-06-25,firoz78692
2652,bishop joello onsales,2016-06-25,good work god bless
2653,ravi dogra,2016-06-25,best for professional link
2654,shubham pathak,2016-06-25,excellent
2655,vishal samant,2016-06-25,not sure why microsoft paid so much to buy link in hopeless  it almost impossible to get pass captcha thing   login bug with android do wonder if they do any testing before release patch 
2656,karuppiah karthick,2016-06-25,it s so usefull
2657,ivan peday,2016-06-25,keep go
2658,enos moleo,2016-06-25,construction
2659,imac gems,2016-06-25,excellent
2660,leonard nez,2016-06-25,layout fabricate  u0026amp  install
2661,ashok sharma,2016-06-25,more reliayable 
2662,bhargava suman siram,2016-06-25,good but its run some background process even after its closed  which suck my battery juice much quicker   please fix it 
2663,abkhokar wahid,2016-06-25,very nice
2664,aprilla ginting,2016-06-25,sangat membantu sekali
2665,lee edward hill,2016-06-25,social medium
2666,mohammad islam,2016-06-25,mindblow
2667,narendra lowanshi,2016-06-25,i be update again and again but still log in error
2668,praveen kumar,2016-06-25,good
2669,hirm rowland,2016-06-25,intellegent
2670,john childress,2016-06-25,
2671,olusheyi banjo,2016-06-25,the stupid will not even open even after i update it
2672,deepak s,2016-06-25,the recent update of mobile doesn t allow to view contact info of the 1st level connections 
2673,dwi wahyu ariani,2016-06-25,just great?!
2674,keith taylor,2016-06-25,liked it
2675,clint wilson,2016-06-25,doesn t allow proper update
2676,abdulla eisa,2016-06-25,excellent
2677,hemant desai,2016-06-25,bug fix and improvements!!! not too sure cause it win t work no more post last update 
2678,jih wang,2016-06-25,uninstalledidiotic  keep prompt me to verify if i be human over and over and overif i can t log into my account then it doesn t belong on my phone 
2679,festus uduoba,2016-06-25,just the best social medium platform for professionals 
2680,masudur rahman,2016-06-25,housekeeping job
2681,bamidele james,2016-06-25,great ever
2682,ahmed elassuioty,2016-06-25,marketing
2683,dinesh babu,2016-06-24,hy return of the day
2684,janine lee,2016-06-24,great i love it
2685,neeraj sharma,2016-06-24,good
2686,sandeep vete,2016-06-24,great and seamless access with connectivity
2687,mohamed badran,2016-06-24,the new virgan couldn t be log in
2688,andiek yanuar arifin,2016-06-24,why update view error ?
2689,sendil sadasivam,2016-06-24,visibility book be the best part of my life
2690,ravi jindal,2016-06-24,lovely   
2691,tej kiran joshi,2016-06-24,i love it
2692,balaji galave,2016-06-24,great
2693,imran nazir,2016-06-24,i love this
2694,fbc organization,2016-06-24,ab
2695,facade media group,2016-06-24,newest version be improve over last version but new restriction censorship be in place now  open door for new business site from google amazon le etc  to easily compete with this 
2696,edwin white,2016-06-24,result oriented
2697,portia malatji,2016-06-24,great way to connect on a professional level
2698,santhosh kumar,2016-06-24,it is too good  many of them got altered their life style by this
2699,bogdan ivanciu,2016-06-24,request error we   re sorry there was a problem with your request  please make sure you have cookies enabled and try again  or follow this link  to return to the home page
2700,alan packham,2016-06-24,good not to have the rubish that other social medium site have now got 
2701,mayank agarwal,2016-06-24,some google smart login be not allow me to login  i have a simple link in login id  why can t i use it?
2702,laxmikant ganachari,2016-06-24,maintain hygiene datum
2703,anisia muriuki,2016-06-24,after the last update it stop working and be even ask me to connect with myself  after try several time and get nowhere i uninstalled 
2704,silas mollel,2016-06-24,nice s
2705,kais kawar,2016-06-24,bala sha3ar
2706,e  herlina,2016-06-24,love it so much
2707,prince felix,2016-06-24,the be crap  try to connect with a friend but it instead take me to a fresh registration page and all my connection gone! any manage by microsoft be sure dead and difficult to assess
2708,sijumon gopalakrishnan,2016-06-24,when you search a job with a title it show the results  but there be no way to filter it  new job be scatterd at location  talk about not the job search  
2709,jay munasinghe,2016-06-24,great
2710,junaid ujjama,2016-06-24,ok
2711,wagyims kwatemaa,2016-06-24,its helpful
2712,celeste kelley,2016-06-24,business connection
2713,tarun mangore,2016-06-24,hello    i
2714,jhon eliya,2016-06-24,very good
2715,krunal vadher,2016-06-24,too slow!!! work nice in computer!!android suck
2716,mistarulsk mr,2016-06-24,mistarulsk mr
2717,philemon selome,2016-06-24,ps
2718,arpit kothari,2016-06-24,ui ux improvement need
2719,catalin delea,2016-06-24,crash so often  sigh
2720,giri dharan,2016-06-24,i hate this update contact arr not show in the crass
2721,ashley martin,2016-06-24,any time i try to updat my profile it say update failed  used android
2722,rahma mohamed,2016-06-24,love it
2723,bilal asim,2016-06-24,its nice
2724,ebrahim shaik,2016-06-24,good
2725,samar trivedi,2016-06-24,this as everybody know be a business   good for networking and communicate with its members  build team and network to explore great opportunity ahead 
2726,rakhya ranjan sahoo,2016-06-24,i like it
2727,kp singh,2016-06-24,best for job in field
2728,steve howard,2016-06-24,normally a great however since upgrading to latest version cannot login bad user namepassword on android laugh out loudlipop bad news please sort asap
2729,steve j,2016-06-24,great
2730,rudra mishra,2016-06-24,great  
2731,amir feroz,2016-06-24,meena needle art
2732,sanjay joshi,2016-06-24,good
2733,timothy meyers,2016-06-24,i do not rove my contact to be sync and now it show certain person from my contact on the person you may know  do not do not download
2734,villa villalobos,2016-06-24,because i honestly couldn t even sign in due to the horrible recaptcha security 
2735,julio m  duverg  ,2016-06-24,  
2736,asif siddiqui,2016-06-24,login failure after upgrade my device samsung galaxy j7 
2737,pranav raj s,2016-06-24,crash everytime  
2738,danny ng,2016-06-24,i wish i can rate it lower than 1 star it never get past the recaptcha even after multiple verification
2739,grace nombango,2016-06-24,i have be on link in for quite sometime now hope and pray that someone out there may recognise my profile and reconsider in hire me but seem like no one be willing to
2740,james maina,2016-06-24,proffessional
2741,ravish gupta,2016-06-24,if we can add the recommendation feature!!
2742,burhanuddin sa'i,2016-06-24,great!
2743,ibrahim el wakkad,2016-06-24,v v nice
2744,john lee wise,2016-06-24,this be an good working lication i ever used before
2745,mrityunjay jha,2016-06-24,several time automatically crashed 
2746,anita naikwadi,2016-06-24,love it
2747,chijioke remigius,2016-06-24,be highly honour to be among the public elite used this   indeed its an opportunity of a lifetime to connect with person u can t ordinarily meet one on one  this be simply the best
2748,aron cutishtanu,2016-06-23,greatest
2749,ramona wallace,2016-06-23,child care
2750,kamlesh khulve,2016-06-23,later
2751,i riyami,2016-06-23,100 00 
2752,rishi mohan chourey,2016-06-23,i cannot open in my mobile it s become tooooooo slow please rollback the update 
2753,mark smith,2016-06-23,fix needed  after latest update be impossible to use
2754,mohammed alhennawy,2016-06-23,good
2755,muhammad wasim,2016-06-23,useful
2756,muhammad ihsanullah qamar,2016-06-23,my mobile stopped suddenly so i reinstal and now show invalid login whenever i try 
2757,sukhpal singh,2016-06-23,it log me out keep say invalid login?????
2758,ashutosh parvate,2016-06-23,classic ui   best performace  !! hy       
2759,mike edwards,2016-06-23,it s a ronseal for quality
2760,amrita hirawat,2016-06-23,have become irresponsive  it s not open say invalid login profile not available please fix this soon
2761,william leslie taylor,2016-06-23,awesome         
2762,michael christopher,2016-06-23,whenever the be update i have to go through the whole welcome to bloody thing  i just want to use it not be nursemaid through it 
2763,b s chauhan,2016-06-23,hi
2764,larry sukhani,2016-06-23,
2765,oktay korkmaz,2016-06-23,i try to login a few time with my password but i cant always invalid login message  altough i change my pass i still cant login in addition there be my gmail adress in the blank but i want to login with another mail account everytime i have to delete it and after write the other mail adress 
2766,mohammad hossain,2016-06-23,keep crashing!         
2767,abhishek kunwar,2016-06-23,awesome provide useful information
2768,geraldine aparece,2016-06-23,awesome
2769,fanny fajardo,2016-06-23,youtube fanny fajardo
2770,subedar yadav,2016-06-23,good
2771,sujatha k,2016-06-23,easy   everyone like it  v
2772,manendra pratap,2016-06-23,oosaravelli
2773,cara rafaela anduiza,2016-06-23,can t download!!!!
2774,aravind padmanathan,2016-06-23,very bad
2775,frank basa,2016-06-23,good
2776,shehab ahmed,2016-06-23,i have change my phone and just after download i cannot login in my account!!! i don t know why that!! please help me because i need it so much
2777,brian johnston,2016-06-23,when i get invitation and accept it be follow up by person you may know i do not know them but may be interest in someone i be not aquaint with  if i request association form some of them be my account disabled?
2778,amar singha,2016-06-23,national hydrographic school goa india
2779,bae montoya,2016-06-23,nmmmmm
2780,surendra singhpayal,2016-06-23,good
2781,ivan aguirre,2016-06-23,good
2782,orville mowatt,2016-06-23,good
2783,mandeep reehal,2016-06-23,this lication be not work at all please fix asap!!!!! the issue be i type in the correct credential and the lication still do not log me and provide me with a error message say bad usernamepassword this be not the case because i have used the same credential used the web lication on my desktop and it all work fine  please sort this out asap as i cannot use the lication to its potential not allow me to update or track my own progress 
