,Author,Date,body,Class
2923,amber vargo,2016-06-29,it do have the great camera upload but the never connect to let me see my pics!,
2924,teresa wojciak,2016-06-29,easy to use and share between devises ,
2925,joycelyn adenson,2016-06-29,secure n easy,
2926,ch tariq,2016-06-29,easy way to record memory photos  and videos i like it very much!!,
2927,john nguyen,2016-06-29,i used to be able to send a link to a pic or file but now it want to invite someone to the folder   what the fuck be that all about? bs!,
2928,hossain hridoy,2016-06-29,it s safe and sound,
2929,vickki vicki,2016-06-29,not bad,
2930,pala mullalage presad anura kumara,2016-06-29,mr ,
2931,saleem nawar,2016-06-29,they try to take away ur free service and want you to buy it yearly instead,1.0
2932,nicola byrne,2016-06-29,it now seems to take forever to upload a photo on my android phone  i can come back half an hour later and it s still uploading     ,1.0
2933,ibrahim jamiu,2016-06-29,it s nice,
2934,jeff mitchell,2016-06-29,annoying,1.0
2935,sunil sangwan,2016-06-29,keep cool,
2936,khadaladinesh gmail com  khadaladinesh,2016-06-29,khadala,
2937,dev yash,2016-06-29,nice,
2938,lee mills,2016-06-29,win t open on my mobile  bit useless then ,1.0
2939,sherrie ferguson,2016-06-29,picture,
2940,michael dcz,2016-06-29,very usefull  bring back memories  great work admin,
2941,shahrukhulla ulla,2016-06-29,google drive be better than it  because google give 15gb space free  and be give 2gb free ,
2942,edmond thamage,2016-06-29,i like it,
2943,nando fake,2016-06-29,it says my acc don t exist i hate this bc all my information i thought it would be safe here was lost  i hate this i hate it!!     ,1.0
2944,summer clover,2016-06-29,keep crashing ,1.0
2945,emmanuel emeka,2016-06-29,i can t remember have any problem with this,
2946,danish m,2016-06-29,why cant u make one good change and make perfect instead of update new again and again,1.0
2947,celtic fairie,2016-06-29,sorry but no! your gonna make us pay or use a computer! if i have a computer i would just upload photo to my computer once a week! and im not pay for something that other scompany provide for free  switching to google photos  bye! u do what u gotta do  but im gonna do what i gotta do  this be a five star if this update didn t exist soon  hopefully someday i will be able to afford extra cost in my budget  till then  ttfn ,1.0
2948,jawad ali,2016-06-29,good,
2949,od storm,2016-06-28,i can store all of my video and find stuff i need with the greatest of ease,
2950,harl bermas,2016-06-28,this if you re go to use this to back up your picture this will take up too much bandwidth at mess up your internet connection ,1.0
2951,karen askew,2016-06-28,as it have auto back up shame it do not work with my music files ,
2952,peerantorn bouprom,2016-06-28,great,
2953,clark gordon,2016-06-28,just work like it should!,
2954,emilio bustamante,2016-06-28,now all my important info be with me at all times!,1.0
2955,                 ,2016-06-28,ok,
2956,louis f  orihuela sr ,2016-06-28,great !!!!!!,
2957,loc c,2016-06-28,work great  !!,
2958,benyam hagos,2016-06-28,love it,
2959,catalino ramirez,2016-06-28,good,
2960,kingz hacks hackdragon,2016-06-28,hacker it me at,1.0
2961,julio garcia,2016-06-28,numerous occasion when ive have come in handy love it ,
2962,brianna 9800,2016-06-28,hay dad love you and your brother what r you doing143,
2963,aquaman aquandroid,2016-06-28,aquandroid,
2964,cliff clark,2016-06-28,great fast and easy to use ,
2965,gle ann galigao,2016-06-28,very useful ,
2966,omer ahme,2016-06-28,pretty goood,
2967,kurt harper,2016-06-28,i remain extremely frustrated with for android  on my samsung tablet when i access my i can keep single file for access locally but there ears to be no way to do this for entire folders  and the copy and move function seem to be limit to copy or move to other locations  if it be possible and intuitively accessible to store a whole folder locally i d give this 5 stars  not have this feature render it nearly useless for transfer file to a tablet unless you know you will have wifi access later ,
2968,felipe sandoval,2016-06-28,you keep add feature to io but not to android  how hard you think it be to show some little respect?,2.0
2969,jeff pupillo,2016-06-28,awesome,
2970,alexander nimako,2016-06-28,help save lot of document,
2971,abdul rauf,2016-06-28,great,
2972,vernon rezant,2016-06-28,good,
2973,yallos rabiu jibrin,2016-06-28,it s light and easy to use  really love it totally recommend it,
2974,samantha gilchrist,2016-06-28,great for facebook ,
2975,carolyne devanta,2016-06-28,because this s i can download anime wallpaper thank,
2976,pratish sawant,2016-06-28,usefull  atlst try once and used it  such awesome feature make this superb  ,
2977,vinay rajput,2016-06-28,wonderful,
2978,lamar stephens,2016-06-28,lamarst,
2979,pirre campoamor,2016-06-28,hmmhm,
2980,tonny nsubuga,2016-06-28,great backup,
2981,julius dela cruz,2016-06-28,best ever,
2982,rajeev ranjan,2016-06-28,it s an amazing  ,
2983,frank palmeri,2016-06-28,finally!! you guy listen to your customer and make file the default view instead of that ridiculous recent view  back to 4 stars  thanks ,
2984,md ryhan,2016-06-28,i love it,
2985,awan yaso,2016-06-28,love it,
2986,dikshant kotla,2016-06-28,it just stop work all of a sudden ,1.0
2987,gemii choco,2016-06-28,really like it  just please add more space gb available for free member,2.0
2988,marcellinus ryan karyadi,2016-06-28,useful in many way,
2989,sesiphelele makhanya,2016-06-28,thank,
2990,gideon kusi,2016-06-28,very useful with simple and user friendly functionality ,
2991,lynn c,2016-06-28,i have used for a long time and like that photo from my camera be automatically uploaded  on 22072016 this will change  why? so user don t use up their free allowance  this imply we don t know how to do this for ourselves  please don t patronise us the reason be so you make more money by charge for the upgrade which will allow free upload from your camera ,1.0
2992,jenny lynn mcbride,2016-06-28,wish my windows 10 laptop was all easier to install the desktop but its most likely not the just my laptop giving me a hard time but the android has always been great     ,
2993,quame zane,2016-06-28,i like it yeah   and its really help me in my work ,
2994,brianna marie,2016-06-28,i can t even open my file in      and i don t know if it s to full or what  ,
2995,ravi rajput,2016-06-28,perfect,
2996,hanif bhaa,2016-06-28,ok,
2997,trudy shikongo,2016-06-28,t,1.0
2998,confesor batista,2016-06-28,pastor,
2999,mo fawaz,2016-06-28,love the not really much more i can say!,
3000,devendra koli,2016-06-28,brilliant  ,
3001,dr habib ullah,2016-06-28,almadina college,
3002,                  ,2016-06-28,                                                                                     ,
3003,pythagoras of samos,2016-06-28,just download the and it keep on crash every time i try to upload photos  it s definitely an issue as the s7 be far enough capable of uploading photo onto an  ,1.0
3004,ali hayderi,2016-06-28,,
3005,santanu roy,2016-06-28,it can store the large amount of file ,
3006,lorinda bekker,2016-06-28,it ok just need more work,
3007,carmelo fane,2016-06-28,easy to utilize,
3008,tejesh d,2016-06-28,no word  simply superb,
3009,henry john,2016-06-28,opened message other s would not save me time,1.0
3010,ankita panthri,2016-06-28,best but you should have more free space,
3011,kim marchelle,2016-06-28,i use this to add video to my amazon reviews and it s so easy! i rarely ever use my laptop and dread do video because it be a pain  this be way better and i actually look forward to do more videos ,
3012,gan esh,2016-06-28,,
3013,marmitetoots,2016-06-28,or wont be able to upload my pic cause i dont have a pc   way to go guy uninstal,1.0
3014,julia serole,2016-06-28,excellent,
3015,shubham dhanda,2016-06-28,great,
3016,jitendra kumar gehalot,2016-06-28,easy to share all thing at any where,
3017,rony arman,2016-06-28,love it,
3018,guruprasad sarangamath,2016-06-28,easy to use it s like my e wallet for all important doc s,
3019,brandon schneider,2016-06-28,it s good i like it,
3020,ion harris,2016-06-28,marvelous,
3021,rick long,2016-06-28,how do i do? where do i go to delete some of my saved photos?,
3022,jerimiah edwards,2016-06-28,food truck,
3023,bakari haizer,2016-06-28,love this lication it s very reliable all the time,
3024,agnieszka _,2016-06-28,i have be used it for 2 year maybe mainlly to store my photos  i love the feature of automatically upload the photo from my phone! i don t need to do anything the just send the pic to the folder where i can access them from any device ,1.0
3025,yashika narang,2016-06-28,good response,
3026,rahul kulkarni,2016-06-28,best,
3027,romel padayhag,2016-06-28,love it!,
3028,precious sopa,2016-06-28,lovely,
3029,santosh saraswat,2016-06-28,very nice lication for all users ,
3030,grace scicluna,2016-06-28,build,
3031,malte kosian,2016-06-28,good tool,
3032,muhmmed zayan musthafa,2016-06-28,super,
3033,ken fusion,2016-06-28,it be good,
3034,sakhawat hossain,2016-06-28,ttj,
3035,kathy brydon,2016-06-27,finally! a that let me have easy access to my file video and picture from any device  it s a shame that they charge you after two year of use ,
3036,thomas dermako,2016-06-27,work well,
3037,a google user,2016-06-27,used to be a great   now suck the battery like it own it  without 0  battery drain over 6 hours  with logged in and all automatic stuff disabled 15  battery drain over 6 hour and wakelock at over 90   uninstalled  look for a different option on my android devices ,1.0
3038,donwolfjr1,2016-06-27,still an amazing !!! but why do the double and triple some pic when i add them to my ??? don w  tx,
3039,ahmed al said,2016-06-27,ahm,
3040,kitipoom kantawong,2016-06-27,good,
3041,syed shaheer,2016-06-27,ping pong,
3042,storeiscrazyhd,2016-06-27,so nice easy 2 use love thank for this   sic this be she im jk its greatest,
3043,amin darabinia,2016-06-27,good,
3044,moude angel,2016-06-27,good enough to me,
3045,antoinette brooks,2016-06-27,one request i need to be able to name my downloaded photo when add to   be i miss something here?,
3046,sixten abbot,2016-06-27,unistall itself repeatedly  turn around one day and surprise it s gone! otherwise yep it do what you d expect to do ,
3047,bryen kalunga,2016-06-27,great i can send video s in a slit second ,
3048,sheila winkler,2016-06-27,,
3049,jacinta wilson,2016-06-27,great one of the best,
3050,slasher maru,2016-06-27,great!!!,
3051,syaefudin jaelani,2016-06-27,very good s for save file,
3052,prime panels,2016-06-27,good with auto backup,
3053,leo manyatis,2016-06-27,helpfull,
3054,sheilou salac,2016-06-27,alone,
3055,sumita kundu,2016-06-27,nice,
3056,farbod zarkeshian,2016-06-27,i love it because you can have all your docs with you in a safe place ,
3057,jenny bowles,2016-06-27,love it,
3058,osoro michael,2016-06-27,great simple to use,
3059,james turrubiartes,2016-06-27,thank you!!!!!,
3060,devesh vaid,2016-06-27,but be it fully secure  ?  can u tell,
3061,deebu regith,2016-06-27,dear   before the last update  when we click of a pic in the number be show below the pic  like if i have upload 100 pic nd put into a folder when i open the folder and click on the first pic it would show 100 similarly if i click the second pic it would show 99  but aftr the last update its not shown  nd thre be no way to know how many pic r thre in total ,1.0
3062,amanda dodson,2016-06-27,after 20 minute only 110 picture be uploaded  huge waste of time!,
3063,queen nuchie boss'd up williams,2016-06-27,amazing  i love the i use it for school store pic and important docs  best ever,
3064,saman kianfar,2016-06-27,android 6 0 1    marshmallow,
3065,prince jite,2016-06-27,this be very easy to use  i love it,
3066,kuldeep singh bhati,2016-06-27,jordar,
3067,kari self,2016-06-27,since the new upgrade on my phone the photo i take be no longer drop into nor instantly upload onto my home computer  not impressed  i have manually go round the house to do something so simple  my business be suffering  look for another now that will do it better ,1.0
3068,bone sell,2016-06-27,it would have 5 star if there be a download all photo to device button  i know it would be very difficult but that would be the biggest improvement in the for me  as well as several friend that use the,
3069,ajinkya bijwe,2016-06-27,please include a multus select and download folder option,2.0
3070,venu gopal,2016-06-27,good,
3071,shrikant kanade,2016-06-27,easy to use,
3072,eric green,2016-06-27,brilliant cudnt do without,
3073,millie ellis,2016-06-27,drop box,
3074,dawn ardwyn jones,2016-06-27,very useful   all my picture in one place,
3075,steve denton,2016-06-27,just another one !!,
3076,nisreen daboul,2016-06-27,good,
3077,angel cabral jacinto,2016-06-27,save files picture video,
3078,ezekiel lampat,2016-06-27,excellent,
3079,lyndon mabuti,2016-06-27,nice,
3080,arpon chanda,2016-06-27,but need more space for storage,
3081,felixa valladares de kunkle,2016-06-27,it be handy to have a place for file and pictures  i just wish to be able to down load more pictures ,
